value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
11,11,0.008526146935589722,pos_neg_null,mov,1,1,7
11,8,0.00851626984799935,pos_neg_null,mov,1,1,7
11,9,0.008523632924574961,pos_neg_null,mov,1,1,7
11,4,0.007239957826872235,pos_neg_null,mov,1,1,7
11,5,0.00812437348695088,pos_neg_null,mov,1,1,7
11,7,0.008492355982638852,pos_neg_null,mov,1,1,7
11,1,0.002293187812137865,pos_neg_null,mov,1,1,7
11,10,0.008525802697142279,pos_neg_null,mov,1,1,7
11,2,0.0035291337399465193,pos_neg_null,mov,1,1,7
12,1,0.0022863424753852223,pos_neg_null,mov,1,1,7
12,9,0.008498189244203124,pos_neg_null,mov,1,1,7
12,7,0.008467005666272787,pos_neg_null,mov,1,1,7
