value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
9,8,0.013615824406250856,pos_neg_null,cig,1,1,8
9,4,0.011564632320292796,pos_neg_null,cig,1,1,8
9,9,0.013618480054987144,pos_neg_null,cig,1,1,8
9,7,0.013592416312376432,pos_neg_null,cig,1,1,8
9,6,0.01348122735188537,pos_neg_null,cig,1,1,8
9,5,0.012997709296778804,pos_neg_null,cig,1,1,8
9,3,0.00880637690447379,pos_neg_null,cig,1,1,8
9,2,0.005795344316826588,pos_neg_null,cig,1,1,8
9,1,0.003663230095063804,pos_neg_null,cig,1,1,8
10,6,0.011224049377831155,pos_neg_null,cig,1,1,8
10,10,0.011340153798631198,pos_neg_null,cig,1,1,8
10,9,0.011339724569744448,pos_neg_null,cig,1,1,8
10,5,0.010821487327363993,pos_neg_null,cig,1,1,8
10,4,0.009628352138225422,pos_neg_null,cig,1,1,8
10,3,0.007331914716339416,pos_neg_null,cig,1,1,8
10,1,0.0030498911112572464,pos_neg_null,cig,1,1,8
10,2,0.004825022905981772,pos_neg_null,cig,1,1,8
10,8,0.011336110686855631,pos_neg_null,cig,1,1,8
10,7,0.011316621838056512,pos_neg_null,cig,1,1,8
11,8,0.008525504731436912,pos_neg_null,cig,1,1,8
11,9,0.00852822261030371,pos_neg_null,cig,1,1,8
11,10,0.00852863341063754,pos_neg_null,cig,1,1,8
11,4,0.007241157393210876,pos_neg_null,cig,1,1,8
11,11,0.00852868227800551,pos_neg_null,cig,1,1,8
11,7,0.008510847828621047,pos_neg_null,cig,1,1,8
11,5,0.008138473940414274,pos_neg_null,cig,1,1,8
11,1,0.0022937197613587643,pos_neg_null,cig,1,1,8
11,3,0.005514084621379252,pos_neg_null,cig,1,1,8
11,6,0.00844122721803834,pos_neg_null,cig,1,1,8
11,2,0.003628736235077215,pos_neg_null,cig,1,1,8
12,5,0.005038102915494541,pos_neg_null,cig,1,1,8
12,11,0.005279664857654904,pos_neg_null,cig,1,1,8
12,6,0.005225521611166582,pos_neg_null,cig,1,1,8
12,2,0.002246360526476363,pos_neg_null,cig,1,1,8
12,10,0.005279630206585134,pos_neg_null,cig,1,1,8
12,8,0.005277693405175222,pos_neg_null,cig,1,1,8
12,3,0.0034134809560919057,pos_neg_null,cig,1,1,8
12,4,0.004482621243416249,pos_neg_null,cig,1,1,8
12,12,0.005279668334782417,pos_neg_null,cig,1,1,8
12,7,0.005268620084384448,pos_neg_null,cig,1,1,8
12,1,0.0014199217570316136,pos_neg_null,cig,1,1,8
12,9,0.005279375901616572,pos_neg_null,cig,1,1,8
13,13,0.00384259940860148,pos_neg_null,cig,1,1,8
13,5,0.003666784962164668,pos_neg_null,cig,1,1,8
13,2,0.001634925116902916,pos_neg_null,cig,1,1,8
13,11,0.003842596316518068,pos_neg_null,cig,1,1,8
13,3,0.0024843677964455912,pos_neg_null,cig,1,1,8
13,1,0.0010334341781946068,pos_neg_null,cig,1,1,8
13,12,0.0038425991522064327,pos_neg_null,cig,1,1,8
13,9,0.003842386011235732,pos_neg_null,cig,1,1,8
13,7,0.0038345578128951914,pos_neg_null,cig,1,1,8
13,8,0.003841161472405637,pos_neg_null,cig,1,1,8
13,6,0.003803190285050236,pos_neg_null,cig,1,1,8
13,10,0.003842571097100425,pos_neg_null,cig,1,1,8
13,4,0.0032624994848532447,pos_neg_null,cig,1,1,8
14,1,0.0009746208509802799,pos_neg_null,cig,1,1,8
14,10,0.003623888189135361,pos_neg_null,cig,1,1,8
14,2,0.001541880598054783,pos_neg_null,cig,1,1,8
14,5,0.0034581061431796876,pos_neg_null,cig,1,1,8
14,13,0.0036239149351852806,pos_neg_null,cig,1,1,8
14,11,0.0036239119733015935,pos_neg_null,cig,1,1,8
14,12,0.0036239146476093197,pos_neg_null,cig,1,1,8
14,3,0.002342981011282022,pos_neg_null,cig,1,1,8
14,9,0.0036237136366125615,pos_neg_null,cig,1,1,8
14,6,0.0035867485615107926,pos_neg_null,cig,1,1,8
14,14,0.0036239149766478956,pos_neg_null,cig,1,1,8
14,4,0.0030768287824632233,pos_neg_null,cig,1,1,8
14,8,0.003622558786984179,pos_neg_null,cig,1,1,8
14,7,0.003616330945494653,pos_neg_null,cig,1,1,8
4,1,0.006979167585013797,pos_neg_null,cig,1,1,7
4,4,0.00042439413216043193,pos_neg_null,cig,1,1,7
4,3,0.01555716394475714,pos_neg_null,cig,1,1,7
4,2,0.010490418200941015,pos_neg_null,cig,1,1,7
3,3,0.000017653211927636036,pos_neg_null,cig,1,1,7
3,2,0.010464547872455335,pos_neg_null,cig,1,1,7
3,1,0.006961956320932377,pos_neg_null,cig,1,1,7
5,5,0.005359309935807208,pos_neg_null,cig,1,1,7
5,4,0.02032471795271214,pos_neg_null,cig,1,1,7
5,3,0.015231058165397183,pos_neg_null,cig,1,1,7
5,2,0.010270520408812748,pos_neg_null,cig,1,1,7
5,1,0.0068328718403217635,pos_neg_null,cig,1,1,7
2,2,2.8475638451116853e-7,pos_neg_null,cig,1,1,7
2,1,0.006359562078082863,pos_neg_null,cig,1,1,7
6,6,0.01648638821685087,pos_neg_null,cig,1,1,7
6,5,0.020187359131359193,pos_neg_null,cig,1,1,7
6,4,0.017432157337275794,pos_neg_null,cig,1,1,7
6,3,0.01306341386729912,pos_neg_null,cig,1,1,7
6,2,0.008808846849372151,pos_neg_null,cig,1,1,7
6,1,0.005860435419721821,pos_neg_null,cig,1,1,7
1,1,5.840381363391754e-10,pos_neg_null,cig,1,1,7
7,7,0.018438401945763412,pos_neg_null,cig,1,1,7
7,6,0.018713886763475896,pos_neg_null,cig,1,1,7
7,5,0.017697288401499887,pos_neg_null,cig,1,1,7
7,4,0.015281935286862903,pos_neg_null,cig,1,1,7
7,3,0.01145206766340318,pos_neg_null,cig,1,1,7
7,2,0.007722293052973822,pos_neg_null,cig,1,1,7
7,1,0.005137562328302383,pos_neg_null,cig,1,1,7
8,8,0.016786509132754823,pos_neg_null,cig,1,1,7
8,7,0.016776849146076897,pos_neg_null,cig,1,1,7
8,6,0.016519628684006405,pos_neg_null,cig,1,1,7
8,5,0.015622229459950527,pos_neg_null,cig,1,1,7
8,4,0.013490083578185545,pos_neg_null,cig,1,1,7
8,3,0.01010927916015662,pos_neg_null,cig,1,1,7
8,2,0.006816831555975246,pos_neg_null,cig,1,1,7
8,1,0.004535168085452869,pos_neg_null,cig,1,1,7
15,1,0.0041048864834174826,pos_neg_null,cig,1,1,7
15,6,0.014952301484385267,pos_neg_null,cig,1,1,7
15,2,0.006170073343833367,pos_neg_null,cig,1,1,7
15,15,0.015263124590516397,pos_neg_null,cig,1,1,7
15,14,0.015263124051992984,pos_neg_null,cig,1,1,7
15,13,0.015263121949002144,pos_neg_null,cig,1,1,7
15,12,0.015263112168319154,pos_neg_null,cig,1,1,7
15,11,0.015263041743281275,pos_neg_null,cig,1,1,7
15,10,0.01526256453798667,pos_neg_null,cig,1,1,7
15,9,0.015259854725374784,pos_neg_null,cig,1,1,7
15,8,0.015245783388764752,pos_neg_null,cig,1,1,7
